H,i,g,h, ,F,r,e,q,u,e,n,c,y, ,I,n,f,o,r,m,a,t,i,o,n, ,f,o,r, ,A,l,l, ,F,i,l,e,s
mfr-all-electrodes,3.529314041,0.964193548,3.095474614,3.987418301,0.343480547,1.996452867,2.618191721,0.862962963,1.481590414,11.63964687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-AE,4.406015541,1.804032258,3.567689761,6.455926515,0.557308097,2.985058309,3.339869281,1.229769686,2.217728758,12.25040128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AE/60,0.8,0.533333333,0.866666667,0.616666667,0.6,0.666666667,0.783333333,0.7,0.666666667,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PER50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,03_18_2014_per50 Plate1,03_18_2014_per50 Plate2,03_18_2014_per50 Plate3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-all-electrodes,4.878306011,0.836319218,1.856422505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-AE,6.652235469,1.194509074,2.713065092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AE/60,0.733333333,0.7,0.683333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PER50_CON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,08_26_2014_conPER50 Plate1,08_26_2014_conPER50 Plate2,08_26_2014_conPER50 Plate3,08_26_2014_conPER50 Plate4,08_26_2014_conPER50 Plate5,08_26_2014_conPER50 Plate6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-all-electrodes,3.418078176,1.101520087,1.071132898,1.318033649,1.419614148,4.512473461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-AE,4.661015694,1.61023278,1.601715686,1.751349457,2.121382637,4.667856358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AE/60,0.733333333,0.683333333,0.666666667,0.75,0.666666667,0.966666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
